期号,日期,百位,十位,个位,销售额
20001,2020-01-01,1,0,4,26434414
20002,2020-01-02,3,2,1,46598928
20003,2020-01-03,1,9,6,12132899
20004,2020-01-04,0,1,3,25613608
20005,2020-01-05,8,9,0,47664518
20006,2020-01-06,3,8,6,24793519
20007,2020-01-07,7,9,4,10436124
20008,2020-01-08,2,6,5,28647630
20009,2020-01-09,2,3,5,16859215
20010,2020-01-10,1,6,1,34090698
20011,2020-01-11,5,9,4,12915909
20012,2020-01-12,7,8,1,35403012
20013,2020-01-13,1,8,4,34268915
20014,2020-01-14,9,3,1,13075222
20015,2020-01-15,3,4,1,25622331
20016,2020-01-16,1,6,4,40427850
20017,2020-01-17,5,2,5,33841813
20018,2020-01-18,3,4,1,21484920
20019,2020-01-19,8,3,2,41021757
20020,2020-01-20,6,4,8,24738124
20021,2020-01-21,5,0,3,12154210
20022,2020-01-22,5,6,4,14441842
20023,2020-01-23,3,9,5,24269125
20024,2020-01-24,7,6,7,19587950
20025,2020-01-25,4,2,3,47672777
20026,2020-01-26,8,4,9,38751707
20027,2020-01-27,9,6,5,24718366
20028,2020-01-28,2,8,7,16100827
20029,2020-01-29,0,1,2,20736210
20030,2020-01-30,6,9,1,35821297
20031,2020-01-31,6,9,7,45508262
20032,2020-02-01,4,8,0,17687437
20033,2020-02-02,8,4,5,17486139
20034,2020-02-03,4,6,2,40448882
20035,2020-02-04,0,4,8,21989124
20036,2020-02-05,8,1,4,44068679
20037,2020-02-06,9,3,2,35092933
20038,2020-02-07,2,8,8,10038379
20039,2020-02-08,9,5,7,11307062
20040,2020-02-09,1,5,4,26069372
20041,2020-02-10,0,3,9,15285296
20042,2020-02-11,1,7,1,45749305
20043,2020-02-12,2,2,7,46896694
20044,2020-02-13,2,4,8,38396306
20045,2020-02-14,3,8,3,30918926
20046,2020-02-15,6,5,7,44733926
20047,2020-02-16,7,1,3,25079183
20048,2020-02-17,1,5,0,49480729
20049,2020-02-18,8,3,9,24778538
20050,2020-02-19,0,1,0,25364023
20051,2020-02-20,1,0,5,14755156
20052,2020-02-21,8,3,4,42575615
20053,2020-02-22,3,8,2,48322053
20054,2020-02-23,9,7,3,41740676
20055,2020-02-24,6,3,1,16504916
20056,2020-02-25,6,5,6,37588606
20057,2020-02-26,7,0,1,14067647
20058,2020-02-27,6,5,1,26687044
20059,2020-02-28,3,3,8,40105945
20060,2020-02-29,2,6,2,28692848
20061,2020-03-01,7,3,1,39738000
20062,2020-03-02,8,1,0,46278242
20063,2020-03-03,0,1,3,21160949
20064,2020-03-04,6,7,7,24344338
20065,2020-03-05,6,0,2,35432455
20066,2020-03-06,0,6,4,40535094
20067,2020-03-07,4,6,8,42659965
20068,2020-03-08,2,3,4,24609659
20069,2020-03-09,0,9,8,14090793
20070,2020-03-10,5,0,0,49203494
20071,2020-03-11,7,8,8,20565131
20072,2020-03-12,0,8,1,22470502
20073,2020-03-13,1,9,1,25784266
20074,2020-03-14,6,1,9,26523232
20075,2020-03-15,9,9,0,15501813
20076,2020-03-16,6,9,9,45083354
20077,2020-03-17,5,4,3,31084522
20078,2020-03-18,3,4,6,18783092
20079,2020-03-19,4,7,5,14868286
20080,2020-03-20,0,7,9,47781863
20081,2020-03-21,1,1,8,24304543
20082,2020-03-22,8,4,2,33421586
20083,2020-03-23,1,3,5,29125180
20084,2020-03-24,2,7,8,30301581
20085,2020-03-25,9,8,0,47218729
20086,2020-03-26,4,1,2,27748007
20087,2020-03-27,1,1,8,20431932
20088,2020-03-28,4,4,9,24135116
20089,2020-03-29,5,3,4,43917427
20090,2020-03-30,7,4,0,16194045
20091,2020-03-31,6,4,0,10237947
20092,2020-04-01,5,2,4,20843582
20093,2020-04-02,7,8,6,47641822
20094,2020-04-03,0,1,1,20002863
20095,2020-04-04,8,0,5,49091555
20096,2020-04-05,8,2,6,18552724
20097,2020-04-06,0,4,5,12677299
20098,2020-04-07,5,3,3,16898363
20099,2020-04-08,5,8,6,20371898
20100,2020-04-09,3,2,2,37668609
20101,2020-04-10,0,2,5,37629602
20102,2020-04-11,3,4,2,17254174
20103,2020-04-12,6,0,7,24927274
20104,2020-04-13,3,7,5,30481012
20105,2020-04-14,3,3,0,22960720
20106,2020-04-15,6,5,4,14658747
20107,2020-04-16,4,5,8,36821962
20108,2020-04-17,8,5,0,17740453
20109,2020-04-18,4,2,9,27815146
20110,2020-04-19,0,1,9,39163080
20111,2020-04-20,5,5,6,44321020
20112,2020-04-21,1,6,9,22755970
20113,2020-04-22,4,0,6,10113499
20114,2020-04-23,8,8,3,34442489
20115,2020-04-24,6,1,5,31066522
20116,2020-04-25,1,4,8,30755742
20117,2020-04-26,6,5,6,29841084
20118,2020-04-27,8,2,3,38215675
20119,2020-04-28,6,2,9,48192007
20120,2020-04-29,4,6,8,10027242
20121,2020-04-30,4,4,3,38849305
20122,2020-05-01,9,9,5,41204829
20123,2020-05-02,7,7,3,44304306
20124,2020-05-03,7,2,1,29044583
20125,2020-05-04,8,9,5,16267108
20126,2020-05-05,3,4,3,23363383
20127,2020-05-06,2,0,0,26431104
20128,2020-05-07,7,9,1,40562461
20129,2020-05-08,6,9,3,35768358
20130,2020-05-09,7,6,3,19903345
20131,2020-05-10,0,1,6,24686180
20132,2020-05-11,2,8,7,13370098
20133,2020-05-12,8,3,1,40632634
20134,2020-05-13,2,7,8,47508841
20135,2020-05-14,9,5,7,43875089
20136,2020-05-15,6,8,7,20680906
20137,2020-05-16,7,7,4,26591977
20138,2020-05-17,4,8,7,26055518
20139,2020-05-18,4,7,1,29174891
20140,2020-05-19,3,4,5,31455345
20141,2020-05-20,8,1,2,20122074
20142,2020-05-21,3,6,2,24358134
20143,2020-05-22,1,6,6,32205074
20144,2020-05-23,8,7,6,14178581
20145,2020-05-24,3,6,6,49196905
20146,2020-05-25,0,9,6,42009568
20147,2020-05-26,0,5,4,36171560
20148,2020-05-27,6,8,8,24800101
20149,2020-05-28,7,3,4,39248457
20150,2020-05-29,7,0,6,32557271
20151,2020-05-30,6,2,7,18564956
20152,2020-05-31,9,8,0,36442251
20153,2020-06-01,9,9,0,15633618
20154,2020-06-02,6,2,7,22195628
20155,2020-06-03,0,4,6,31968265
20156,2020-06-04,3,7,5,32649278
20157,2020-06-05,6,4,6,26929655
20158,2020-06-06,1,7,0,46199799
20159,2020-06-07,0,5,3,14604900
20160,2020-06-08,0,0,3,23378868
20161,2020-06-09,0,9,2,26008480
20162,2020-06-10,2,7,1,47847357
20163,2020-06-11,3,7,4,34756136
20164,2020-06-12,2,9,9,17686170
20165,2020-06-13,2,4,1,48834875
20166,2020-06-14,0,4,9,35186423
