date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-06-27,sh.601211,19.3,19.8,19.18,19.22,200760359,3906785340.34,1.4878,-1.0299,0,0
2025-06-30,sh.601211,19.2,19.36,19.01,19.16,97166706,1858831424.71,0.7201,-0.3122,0,0
2025-07-01,sh.601211,19.21,19.39,19.06,19.27,72533356,1396402894.16,0.5375,0.5741,0,0
2025-07-02,sh.601211,19.25,19.27,19.08,19.2,55259871,1059496283.45,0.4095,-0.3633,0,0
2025-07-03,sh.601211,19.17,19.3,19.17,19.28,48466213,932840787.83,0.3592,0.4167,0,0
2025-07-04,sh.601211,19.26,19.59,19.11,19.34,87010053,1683625869.1,0.6448,0.3112,0,0
2025-07-07,sh.601211,19.28,19.41,19.23,19.28,39823103,768163230.34,0.2951,-0.3102,0,0
2025-07-08,sh.601211,19.29,19.48,19.24,19.42,59094694,1146500546.87,0.4379,0.7261,0,0
2025-07-09,sh.601211,19.47,19.57,19.25,19.28,72984387,1417781482.53,0.5409,-0.7209,0,0
2025-07-10,sh.601211,19.28,19.58,19.25,19.39,93633117,1818204931.0,0.6939,0.5705,0,0
2025-07-11,sh.601211,19.8,20.44,19.69,19.9,255993660,5142654129.56,1.8971,2.6302,0,0
2025-07-14,sh.601211,19.9,19.93,19.58,19.59,108662771,2142738537.21,0.8053,-1.5578,0,0
2025-07-15,sh.601211,19.56,19.68,19.28,19.36,97962929,1903742740.34,0.726,-1.1741,0,0
2025-07-16,sh.601211,19.4,19.44,19.19,19.25,56340732,1086700158.29,0.4175,-0.5682,0,0
2025-07-17,sh.601211,19.3,19.33,19.15,19.3,58899084,1132803763.3,0.4365,0.2597,0,0
2025-07-18,sh.601211,19.35,19.76,19.32,19.65,94992141,1854851808.82,0.704,1.8135,0,0
2025-07-21,sh.601211,19.65,20.06,19.63,19.81,121133715,2400048388.35,0.8977,0.8142,0,0
2025-07-22,sh.601211,19.85,19.85,19.54,19.78,72742481,1432202876.09,0.5391,-0.1514,0,0
2025-07-23,sh.601211,19.79,20.23,19.79,20.0,155484276,3112406173.97,1.1522,1.1122,0,0
2025-07-24,sh.601211,19.9,20.41,19.84,20.3,141804210,2871839239.17,1.0509,1.5,0,0
2025-07-25,sh.601211,20.36,20.53,20.18,20.49,135926873,2768689014.72,1.0073,0.936,0,0
2025-07-28,sh.601211,20.6,20.98,20.25,20.79,215984029,4481050610.92,1.6006,2.8699,0,0
2025-07-29,sh.601211,20.68,21.17,20.41,21.1,168365024,3512179116.54,1.2477,1.4911,0,0
2025-07-30,sh.601211,21.13,21.14,20.69,20.86,118138191,2475556798.0,0.8755,-1.1374,0,0
2025-07-31,sh.601211,20.65,20.81,20.17,20.3,146090413,2989572815.58,1.0826,-2.6846,0,0
2025-08-01,sh.601211,20.3,20.37,19.97,19.98,85041264,1712436979.23,0.6302,-1.5764,0,0
2025-08-04,sh.601211,19.94,20.22,19.92,20.06,83460782,1673235037.42,0.6185,0.4004,0,0
2025-08-05,sh.601211,20.12,20.18,19.98,20.09,75812114,1521704879.0,0.5618,0.1496,0,0
2025-08-06,sh.601211,20.1,20.29,20.02,20.2,72780063,1468210434.12,0.5394,0.5475,0,0
2025-08-07,sh.601211,20.25,20.53,20.11,20.19,83152131,1685895695.11,0.6162,-0.0495,0,0
2025-08-08,sh.601211,20.16,20.18,19.99,20.0,56871596,1141232686.06,0.4215,-0.9411,0,0
2025-08-11,sh.601211,19.99,20.2,19.95,20.05,90099545,1809857675.49,0.6677,0.25,0,0
2025-08-12,sh.601211,20.09,20.17,20.01,20.07,65833161,1321674146.88,0.4879,0.0998,0,0
2025-08-13,sh.601211,20.12,20.43,20.02,20.13,179970085,3635878716.12,1.3337,0.299,0,0
2025-08-14,sh.601211,20.2,20.54,20.14,20.2,163002496,3311486081.3,1.208,0.3477,0,0
2025-08-15,sh.601211,20.13,20.9,20.06,20.62,245130184,5046306630.68,1.8166,2.0792,0,0
2025-08-18,sh.601211,20.8,21.01,20.47,20.7,233956748,4859966864.0,1.7338,0.388,0,0
2025-08-19,sh.601211,20.7,20.86,20.39,20.39,130085802,2675454800.75,0.964,-1.4976,0,0
2025-08-20,sh.601211,20.34,20.71,20.21,20.7,121478052,2484409594.45,0.9002,1.5204,0,0
2025-08-21,sh.601211,20.98,21.1,20.76,20.86,138911429,2907434964.52,1.0294,0.7729,0,0
2025-08-22,sh.601211,20.79,21.58,20.75,21.5,197083405,4177359093.8,1.4605,3.0681,0,0
2025-08-25,sh.601211,21.7,21.87,21.36,21.64,174072348,3757504384.72,1.29,0.6512,0,0
2025-08-26,sh.601211,21.51,21.69,21.38,21.41,83355217,1793289674.71,0.6177,-1.0628,0,0
2025-08-27,sh.601211,21.39,21.53,20.78,20.8,139942272,2963684841.5,1.0371,-2.8491,0,0
2025-08-28,sh.601211,20.78,21.08,20.64,21.06,108786580,2267496842.07,0.8062,1.25,0,0
2025-08-29,sh.601211,21.19,21.38,20.88,20.97,161024161,3401033200.22,1.1933,-0.4274,0,0
2025-09-01,sh.601211,21.06,21.19,20.62,20.63,127501759,2657006962.58,0.9449,-1.6214,0,0
2025-09-02,sh.601211,20.65,20.74,20.2,20.4,119227315,2431471549.79,0.8836,-1.1149,0,0
2025-09-03,sh.601211,20.45,20.49,19.65,19.78,132530599,2644206468.98,0.9821,-3.0392,0,0
2025-09-04,sh.601211,19.77,19.85,19.42,19.59,124451511,2442449055.8,0.9223,-0.9606,0,0
2025-09-05,sh.601211,19.65,19.84,19.5,19.76,74020999,1454652864.29,0.5485,0.8678,0,0
2025-09-08,sh.601211,19.76,19.81,19.41,19.51,90603844,1771340030.3,0.6714,-1.2652,0,0
2025-09-09,sh.601211,19.51,19.78,19.47,19.56,76919478,1506089156.89,0.57,0.2563,0,0
2025-09-10,sh.601211,19.59,19.73,19.47,19.47,53127214,1038693772.69,0.3937,-0.4601,0,0
2025-09-11,sh.601211,19.5,19.96,19.36,19.94,106685187,2102944737.67,0.7906,2.414,0,0
2025-09-12,sh.601211,19.94,19.98,19.53,19.55,108845274,2145324044.63,0.8066,-1.9559,0,0
2025-09-15,sh.601211,19.56,19.8,19.33,19.52,127152219,2486206861.91,0.9423,-0.1535,0,0
2025-09-16,sh.601211,19.5,19.57,19.12,19.17,143020588,2757829580.62,1.0599,-1.793,0,0
2025-09-17,sh.601211,19.2,19.32,18.97,18.98,200984958,3840337510.67,1.4894,-0.9911,0,0
2025-09-18,sh.601211,19.02,19.07,18.5,18.63,212388294,3991253724.11,1.5739,-1.844,0,0
2025-09-19,sh.601211,18.64,18.71,18.51,18.57,81124927,1509560999.95,0.6012,-0.3221,0,0
2025-09-22,sh.601211,18.6,18.9,18.57,18.86,80236840,1500804890.97,0.5946,1.5617,0,0
2025-09-23,sh.601211,18.74,18.75,18.41,18.63,84599721,1571282575.08,0.6269,-1.2195,0,0
2025-09-24,sh.601211,18.57,18.85,18.56,18.74,72464748,1354894622.35,0.537,0.5904,0,0
2025-09-25,sh.601211,18.74,18.95,18.65,18.83,86187395,1623965156.72,0.6387,0.4803,0,0
2025-09-26,sh.601211,18.79,18.89,18.7,18.71,57183227,1073807279.99,0.4238,-0.6373,0,0
2025-09-29,sh.601211,18.62,19.76,18.62,19.08,324143590,6242054448.12,2.4021,1.9776,0,0
2025-09-30,sh.601211,19.15,19.34,18.71,18.87,233698674,4423169172.82,1.7319,-1.1006,0,0
