date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-06-27,sz.000009,8.94,9.04,8.78,8.8,34425995,305090084.13,1.3493,-1.3453,0,0
2025-06-30,sz.000009,8.8,8.9,8.69,8.88,28285122,249399927.75,1.1086,0.9091,0,0
2025-07-01,sz.000009,8.88,9.24,8.81,9.13,44428588,400893918.95,1.7413,2.8153,0,0
2025-07-02,sz.000009,9.1,9.19,9.05,9.13,27617184,251675880.05,1.0824,0.0,0,0
2025-07-03,sz.000009,9.11,9.13,8.97,9.02,21963270,198028500.43,0.8608,-1.2048,0,0
2025-07-04,sz.000009,9.0,9.02,8.89,8.94,21890870,195719717.06,0.858,-0.8869,0,0
2025-07-07,sz.000009,8.89,8.95,8.85,8.89,17823926,158373465.11,0.6979,-0.5593,0,0
2025-07-08,sz.000009,8.9,9.0,8.89,8.9,24023307,214655089.6,0.9407,0.1125,0,0
2025-07-09,sz.000009,8.91,8.92,8.77,8.77,21444280,189614707.29,0.8325,-1.4607,0,0
2025-07-10,sz.000009,8.76,8.85,8.74,8.82,14927086,131181698.97,0.5795,0.5701,0,0
2025-07-11,sz.000009,8.84,9.0,8.78,8.87,34351091,305471149.35,1.3335,0.5669,0,0
2025-07-14,sz.000009,8.91,8.92,8.84,8.88,16908569,150098785.83,0.6564,0.1127,0,0
2025-07-15,sz.000009,8.85,8.87,8.68,8.72,15666407,137209311.11,0.6082,-1.8018,0,0
2025-07-16,sz.000009,8.72,8.77,8.67,8.71,13678024,119151845.01,0.531,-0.1147,0,0
2025-07-17,sz.000009,8.75,8.8,8.7,8.79,12462251,108995997.12,0.4838,0.9185,0,0
2025-07-18,sz.000009,8.82,8.86,8.74,8.8,14277932,125736612.14,0.5543,0.1138,0,0
2025-07-21,sz.000009,8.84,8.85,8.77,8.79,21714994,191220927.55,0.843,-0.1136,0,0
2025-07-22,sz.000009,8.79,8.99,8.73,8.97,38952472,347157284.92,1.5121,2.0478,0,0
2025-07-23,sz.000009,8.98,9.06,8.89,8.91,26550292,238191177.2,1.0307,-0.6689,0,0
2025-07-24,sz.000009,8.9,9.05,8.88,9.03,27954457,251043594.48,1.0852,1.3468,0,0
2025-07-25,sz.000009,9.02,9.2,8.98,9.06,30996822,281988382.41,1.2033,0.3322,0,0
2025-07-28,sz.000009,9.07,9.42,9.0,9.33,58055791,536230188.53,2.2537,2.9801,0,0
2025-07-29,sz.000009,9.35,9.43,9.17,9.21,31744518,293331160.58,1.2323,-1.2862,0,0
2025-07-30,sz.000009,9.2,9.29,9.09,9.15,26546703,243922391.62,1.0305,-0.6515,0,0
2025-07-31,sz.000009,9.13,9.25,9.07,9.1,26903405,245883424.79,1.0444,-0.5464,0,0
2025-08-01,sz.000009,9.08,9.18,9.06,9.13,24298638,221690165.84,0.9433,0.3297,0,0
2025-08-04,sz.000009,9.11,9.3,9.07,9.26,25892381,238617309.57,1.0051,1.4239,0,0
2025-08-05,sz.000009,9.26,9.28,9.13,9.14,19347860,177490677.8,0.7511,-1.2959,0,0
2025-08-06,sz.000009,9.14,9.16,9.06,9.1,15715088,142870008.71,0.6101,-0.4376,0,0
2025-08-07,sz.000009,9.12,9.17,9.03,9.09,14551651,132227205.53,0.5649,-0.1099,0,0
2025-08-08,sz.000009,9.07,9.11,9.05,9.07,14481346,131443041.3,0.5622,-0.22,0,0
2025-08-11,sz.000009,9.12,9.19,9.07,9.18,19885962,181625325.43,0.772,1.2128,0,0
2025-08-12,sz.000009,9.18,9.22,9.09,9.2,20198325,185279630.54,0.7841,0.2179,0,0
2025-08-13,sz.000009,9.21,9.22,9.1,9.12,22672496,207485027.85,0.8801,-0.8696,0,0
2025-08-14,sz.000009,9.12,9.13,8.94,8.94,27370776,247111916.09,1.0625,-1.9737,0,0
2025-08-15,sz.000009,8.92,9.2,8.92,9.17,30361293,276371307.49,1.1786,2.5727,0,0
2025-08-18,sz.000009,9.19,9.45,9.13,9.36,44649689,415360162.78,1.7333,2.072,0,0
